step,loss,lr,tokens_per_sec
100,1.582845,0.00001515,8555.76
200,1.432833,0.00003015,16416.77
300,1.394698,0.00004515,23647.07
400,1.460082,0.00006015,30269.94
500,1.386233,0.00007515,36401.96
600,1.336882,0.00009015,42096.91
700,1.380248,0.00010515,47451.37
800,1.298817,0.00012015,52421.05
900,1.341372,0.00013515,57173.07
1000,1.354834,0.00015015,61644.11
1100,1.386813,0.00016515,65843.10
1200,1.277348,0.00018015,69745.53
1300,1.336607,0.00019515,73474.10
1400,1.327153,0.00021015,76973.22
1500,1.330301,0.00022515,80295.19
1600,1.312439,0.00024015,83430.18
1700,1.365508,0.00025515,86405.74
1800,1.320843,0.00027015,89221.13
1900,1.286611,0.00028515,91918.03
2000,1.277866,0.00030000,94535.31
2100,1.287887,0.00030000,96957.93
2200,1.307953,0.00030000,99305.80
2300,1.306797,0.00030000,101545.52
2400,1.282411,0.00030000,103723.96
2500,1.315926,0.00030000,105791.58
2600,1.345871,0.00030000,107769.88
2700,1.306896,0.00030000,109694.80
2800,1.348409,0.00030000,111508.78
2900,1.253286,0.00030000,113242.37
3000,1.281627,0.00030000,114935.44
3100,1.237071,0.00030000,116506.90
3200,1.249189,0.00030000,118067.00
3300,1.238754,0.00030000,119600.83
3400,1.283325,0.00030000,121040.78
3500,1.217498,0.00030000,122424.17
3600,1.300577,0.00030000,123750.59
3700,1.269159,0.00030000,125035.09
3800,1.323103,0.00030000,126300.64
3900,1.277486,0.00030000,127523.72
4000,1.328900,0.00030000,128726.86
4100,1.262935,0.00030000,129880.06
4200,1.257786,0.00030000,131018.99
4300,1.258946,0.00030000,132127.92
4400,1.258606,0.00030000,133184.58
4500,1.243126,0.00030000,134206.66
4600,1.234241,0.00030000,135212.62
4700,1.273753,0.00030000,136230.75
4800,1.242383,0.00030000,137146.35
4900,1.263070,0.00030000,137996.20
5000,1.276041,0.00030000,138852.55
5100,1.234651,0.00030000,139722.74
5200,1.270942,0.00030000,140572.76
5300,1.205814,0.00030000,141374.07
5400,1.301853,0.00030000,142170.10
5500,1.194551,0.00030000,142913.62
5600,1.277078,0.00030000,143670.55
5700,1.225637,0.00030000,144398.38
5800,1.235604,0.00030000,145102.70
5900,1.286287,0.00030000,145773.63
6000,1.236831,0.00030000,146457.30
6100,1.264668,0.00030000,147106.54
6200,1.302380,0.00030000,147756.46
6300,1.221861,0.00030000,148409.63
6400,1.285910,0.00030000,149045.95
6500,1.253743,0.00030000,149666.73
6600,1.232232,0.00030000,150249.28
6700,1.304188,0.00030000,150828.38
6800,1.245444,0.00030000,151418.35
6900,1.248658,0.00030000,151983.77
7000,1.246228,0.00030000,152503.04
7100,1.203746,0.00030000,153030.25
7200,1.264924,0.00030000,153528.53
7300,1.201261,0.00030000,154017.34
7400,1.208069,0.00030000,154534.33
7500,1.188165,0.00030000,155026.35
7600,1.150687,0.00030000,155508.04
7700,1.191104,0.00030000,155967.01
7800,1.189478,0.00030000,156463.28
7900,1.262420,0.00030000,156913.10
8000,1.244104,0.00030000,157339.47
8100,1.191376,0.00030000,157816.51
8200,1.213748,0.00030000,158229.55
8300,1.208893,0.00030000,158659.64
8400,1.189460,0.00030000,159074.63
8500,1.278333,0.00030000,159474.23
8600,1.220558,0.00030000,159847.90
8700,1.195235,0.00030000,160215.01
8800,1.203690,0.00030000,160585.07
8900,1.200970,0.00030000,160965.56
9000,1.217587,0.00030000,161336.04
9100,1.167612,0.00030000,161667.73
9200,1.164567,0.00030000,162031.40
9300,1.204920,0.00030000,162367.42
9400,1.214239,0.00030000,162733.68
9500,1.271593,0.00030000,163054.88
9600,1.122014,0.00030000,163356.13
9700,1.216368,0.00030000,163682.80
9800,1.230406,0.00030000,163988.03
9900,1.163725,0.00030000,164280.27
10000,1.242940,0.00030000,164563.96
10100,1.234881,0.00030000,164859.63
10200,1.195755,0.00030000,165152.58
10300,1.206382,0.00030000,165449.64
10400,1.187587,0.00030000,165753.49
10500,1.164327,0.00030000,166030.74
10600,1.227761,0.00030000,166310.85
10700,1.263254,0.00030000,166597.79
10800,1.259354,0.00030000,166885.33
10900,1.197893,0.00030000,167151.52
11000,1.236902,0.00030000,167393.97
11100,1.204920,0.00030000,167661.72
11200,1.190013,0.00030000,167945.08
